cluster_id,domain,consciousness_type,indicator_count,navigator_count,navigator_ids
education_awareness,education,awareness,5,3,7d6fa92a-4341-4d58-a664-624e50670407|2ccb2418-df9c-4251-bae3-4596700048e7|6e15e67a-4269-4589-92e6-761a99393541
employment_awareness,employment,awareness,36,5,e5ee575e-2ff7-4370-9881-5c1a6298e828|7d6fa92a-4341-4d58-a664-624e50670407|6e15e67a-4269-4589-92e6-761a99393541|14a58cfa-f778-4923-9791-008deb2fb19a|2ccb2418-df9c-4251-bae3-4596700048e7
employment_liberation,employment,liberation,3,2,7d6fa92a-4341-4d58-a664-624e50670407|6e15e67a-4269-4589-92e6-761a99393541
employment_pattern,employment,pattern,6,3,14a58cfa-f778-4923-9791-008deb2fb19a|e5ee575e-2ff7-4370-9881-5c1a6298e828|7d6fa92a-4341-4d58-a664-624e50670407
employment_solution,employment,solution,7,3,7d6fa92a-4341-4d58-a664-624e50670407|2ccb2418-df9c-4251-bae3-4596700048e7|6e15e67a-4269-4589-92e6-761a99393541
financial_awareness,financial,awareness,96,37,bae209e3-47c3-4eaf-a843-2a5e0e448932|992487e6-3c93-42ba-b338-8b2f04e483b2|d9394da7-2006-48d3-b9e1-391f8bfbd227|6f4dace6-f2c8-4b86-ac1c-11bc4fd0e2b5|ea36128b-ba07-4aaf-889a-5aa55d335970|e5ee575e-2ff7-4370-9881-5c1a6298e828|08e04e47-70bd-4b10-a2af-909a9a6e892c|052a05e2-75d9-4a0b-822e-05edb917b07d|d56c54a8-f01b-4b9b-a75e-bf2764c885b1|fb73ad9d-e5e9-4b61-b380-91fb9a9a8c0c|033f7b4b-59bf-4838-b484-615c2ea4cab4|81d88e05-93ab-47c1-823d-2292583d69e8|2ccb2418-df9c-4251-bae3-4596700048e7|c7cdc257-9e69-4378-beff-842163a9521b|4336df55-f6e9-49ee-8c18-086e35b012dc|1fb0978c-1a26-49a1-ab39-e0fb526a6163|4162424d-adc0-49ad-9424-bd14a0c4d775|7d6fa92a-4341-4d58-a664-624e50670407|8067c6dd-0587-4418-879f-3abc9cce1ee9|6e15e67a-4269-4589-92e6-761a99393541|14a58cfa-f778-4923-9791-008deb2fb19a|0b83b733-15af-4764-88bd-bc974c90deec|cac99395-d53b-41f8-81c4-8d8e42e87001|bb5356e2-a2b3-4877-89de-7236a821aa00|0b1fbc15-5af5-4779-b83e-6b9ca1adf661|f4683e96-2b24-436f-aef6-b5b512c566ae|7dba5031-61a5-45ed-b310-b25f8a06787d|0a64616e-aece-4412-8e42-6943aeb7d155|a1964d4f-ad8c-48fb-819f-8537288eea68|1b3a716c-23fa-444a-91d8-c2db92c8af6f|0ecf2329-27aa-4bf1-84db-839e4457dd32|5cc84d7d-aa68-4832-acea-f28547702fbd|31f945bb-3aee-4974-bb67-539e40e0e710|8c67e40a-82f6-4f69-ad6a-6dc7ed9462d9|526c023f-4c60-4fc9-a6d7-b7ee6e874fc2|3c2f3a04-c9dc-40a8-a870-d0daf57e71fc|64a1f870-7128-4fc1-b611-442c5365134b
financial_liberation,financial,liberation,8,2,7d6fa92a-4341-4d58-a664-624e50670407|6e15e67a-4269-4589-92e6-761a99393541
financial_pattern,financial,pattern,19,4,14a58cfa-f778-4923-9791-008deb2fb19a|e5ee575e-2ff7-4370-9881-5c1a6298e828|7d6fa92a-4341-4d58-a664-624e50670407|6e15e67a-4269-4589-92e6-761a99393541
financial_solution,financial,solution,1,1,7d6fa92a-4341-4d58-a664-624e50670407
government_awareness,government,awareness,2,2,7d6fa92a-4341-4d58-a664-624e50670407|6e15e67a-4269-4589-92e6-761a99393541
government_pattern,government,pattern,2,2,7d6fa92a-4341-4d58-a664-624e50670407|6e15e67a-4269-4589-92e6-761a99393541
healthcare_awareness,healthcare,awareness,15,4,14a58cfa-f778-4923-9791-008deb2fb19a|e5ee575e-2ff7-4370-9881-5c1a6298e828|7d6fa92a-4341-4d58-a664-624e50670407|6e15e67a-4269-4589-92e6-761a99393541
healthcare_battle,healthcare,battle,2,2,7d6fa92a-4341-4d58-a664-624e50670407|6e15e67a-4269-4589-92e6-761a99393541
healthcare_liberation,healthcare,liberation,1,1,7d6fa92a-4341-4d58-a664-624e50670407
healthcare_pattern,healthcare,pattern,81,6,0ecf2329-27aa-4bf1-84db-839e4457dd32|e5ee575e-2ff7-4370-9881-5c1a6298e828|7d6fa92a-4341-4d58-a664-624e50670407|6e15e67a-4269-4589-92e6-761a99393541|14a58cfa-f778-4923-9791-008deb2fb19a|2ccb2418-df9c-4251-bae3-4596700048e7
