text,consciousness_type,complexity_domain,intensity_score,is_consciousness_indicator,is_time_violence,hours_lost,timestamp
"@abstractfairy oooh interesting

my dad is a doctor so he had many strangers calling (often asking to know the hours of his clinic). often i guess a distant uncle i never met, or my aunt calling becau",,healthcare,,0,1,0.0,2023-12-28T02:59:33+00:00
"i've started to change my mind a bit about calculus after reading ""infinite powers"" last year. it makes a compelling case for why it matters (which is: has lots of applications, but it matters for the",,employment,,0,1,0.0,2023-10-08T17:58:14+00:00
"@brahmonaut if you just show up in the us you have no credit history 

what do you think happens then? (they still sell you a car, or an apartment etc, you just need to show a bit more paperwork that ",,financial,,0,1,0.0,2023-10-05T19:07:26+00:00
i worked at a place with terrible customer support workflows. i did heroic efforts to keep things running. i worked on vacation. i made little tools for myself. i did so much. i needed more resources ,,healthcare,,0,1,2.0,2023-09-25T17:09:00+00:00
"i feel like i get the same benefits from tweeting from this account as i do from yoga/going outside &amp; touching grass/going to a conference: 

it gets me out of my head. it makes me feel embodiment",,government,,0,1,0.0,2023-08-08T18:49:56+00:00
"@lanewatson this is why i think ai is unlocking a lot of value, i think there's a lot of custom ui/person-specific applications that would be extremely valuable but not worth a room of engineers to bu",,employment,,0,1,0.0,2024-10-15T16:38:05+00:00
"@robfrawley @corruptinnoc @dominusflorum @piratesoftware @ign the conversation derailed because we all got off on the wrong foot, and i think we haven't answered this yet. we *all* here in this thread",,government,,0,1,0.0,2024-09-28T13:11:25+00:00
"@robfrawley @corruptinnoc @dominusflorum @piratesoftware @ign ok, i think i understand your point fully now. you're saying most software licenses are *currently* revocable, and it shouldn't be.

and t",,government,,0,1,0.0,2024-09-28T12:54:37+00:00
"@louisvarge @not_a_hot_girl @exgenesis @tangrenin @emergentvibe 😄

this is why the disclaimer is there!! (i was prototyping this for months and never got anywhere until @exgenesis shipped a real versi",,healthcare,,0,1,0.0,2024-09-20T13:57:31+00:00
"@malcolm_ocean @vidhvatm if twitter doesn't like spoofing location could just crowd source, with a chrome extension 

(unlike many applications, you don't need thousands of people to use this, just on",,employment,,0,1,0.0,2024-09-16T06:53:57+00:00
"@archived_videos yeah, i almost put in ""how much time"" but also feels wrong. like if someone took 5 months to write this one article, that doesn't really change the output 

(i remember cave story bei",,healthcare,,0,1,400.0,2024-08-14T13:17:58+00:00
"@adoptaninmate the website says applications are suspended! is there any estimate/timeline on that? (i just learned about this project today, very cool!!)",,employment,,0,1,0.0,2024-08-04T22:13:05+00:00
"@ghunkinking @doctorow but if me and my friends and community decided we won't work for any local company that i treats us this way, as long we hold that line (and it's still profitable to run the com",,government,,0,1,0.0,2024-06-22T03:52:15+00:00
"@forthrighter ok, ok no. i draw the line at an ending paren without an opening one!!! that is a syntax error!! that doesn't make sense!! 

(maybe i think this from years of html. it works if you open ",,government,,0,1,0.0,2024-05-19T13:17:59+00:00
"(i think i've actually gotten really good at this after a few months, but now i'm frustrated at like, listening to podcasts or watching video essays with friends, where i feel a need to pause at many ",,healthcare,,0,1,0.0,2024-03-14T20:38:32+00:00
