text,consciousness_type,complexity_domain,intensity_score,is_consciousness_indicator,is_time_violence,hours_lost,timestamp
"heard an interesting concept from gary vee: ""look for underpriced attention"".

i really like that idea. where are you seeing underpriced attention right now? are some platforms/formats performing well",,financial,,0,1,0.0,2022-11-22T14:58:14+00:00
"it took me 6 months to find a doctor that would give me a diagnosis and i had to spend $500 out of pocket with insurance.

do i support companies that are finding ways to help people gain access to me",,healthcare,,0,1,480.0,2022-10-30T17:14:15+00:00
"as of right now, i have to have 6 prescriptions for a 3 month supply and visit my doctor every 3 months to get those prescriptions refilled. i've got a moderate dose for first thing in the morning and",,healthcare,,0,1,480.0,2022-10-30T17:14:13+00:00
"@chuckenspire but of course, it's taking a bit more effort than i was hoping to get it to do that, but still playing with it, because i think it has a lot of potential for interesting applications.",,employment,,0,1,0.0,2022-10-25T22:15:14+00:00
"@mollys_adhd @markyerkes1734 what all platforms are you creating on? feel free to send them to me via dm as well, if you want, but figured this could be a great way to promote everything you're doing!",,financial,,0,1,0.0,2022-10-09T16:10:00+00:00
"this is truly revolutionary.

props to mark for doing this. was just talking with my wife about one of her meds that we are fighting insurance on and so it's $200+ out of pocket at the pharmacy

looke",,healthcare,,0,1,0.0,2022-07-29T15:54:14+00:00
"@stroutmotivateu so the baseline ends up not just being a base level of infrastructure that becomes acceptable, but at a certain level of efficiency. essentially, if you are taxing people way more tha",,government,,0,1,0.0,2022-07-28T22:40:48+00:00
@dagorenouf everyone who launches with you actually gets lifetime creator insurance now. i realized i can be quite generous with these early policies because of the nature of the network effects neede,,healthcare,,0,1,0.0,2025-06-30T18:19:25+00:00
"@hellostartupla perhaps. 

but as i think more about the future of work, the creator economy, and the overall trajectory of things, i'm wondering if there is room for some different applications of tr",,employment,,0,1,0.0,2022-07-18T18:31:33+00:00
"this is such an interesting read. when creating for various platforms, there are so many hoops you have to jump through to make it a viable business model.

imagine what would be possible if you didn'",,financial,,0,1,0.0,2022-07-06T15:31:53+00:00
"back to the doctor today to get a test for strep! was finally getting over bronchitis and got hit with a nasty sore throat last night. 

at least i still seem to be avoiding covid. but damn, lol. woul",,healthcare,,0,1,2.0,2022-06-15T15:58:08+00:00
"instead of a launch day, i'm turning it into a launch week.

one of the benefits of feather is getting compounding effects. each announcement/launch should get a higher level of baseline amplification",,government,,0,1,0.0,2022-04-15T13:57:19+00:00
"apply here:  https://t.co/hmhriuw5ub

applications open until 6/21.

send me a dm if you have questions about anything!",,employment,,0,1,0.0,2025-06-14T23:57:43+00:00
applications are now open for the first ten: i'm seeking 10 people who want to help me test the curriculum for the year long program i am building to help people escape employment to start working for,,employment,,0,1,0.0,2025-06-14T23:57:36+00:00
